OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
44,SO,SO11,11,Seven Regions,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,56.2,37.3,438624.225163309,6049281780.60774
45,SO,SO12,12,North Norfolk,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,43.6,21,216398.667071558,2806564892.52551
46,SO,SO13,13,Rural Portage,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,54.7,31.5,395425.347741502,5061466750.33149
47,SO,SO14,14,Cartier/SFX,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,67.9,35.9,248556.453167193,2108734532.01709
48,SO,SO15,15,City of Portage la Prairie,SO1,SO North Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,65.1,38.4,42936.3391087997,63728653.3525383
49,SO,SO21,21,Grey,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,63.3,34.5,212974.80915895,2317878112.10629
50,SO,SO22,22,Carman,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,62.2,37.6,213141.536465458,2190716929.08239
51,SO,SO23,23,MacDonald,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,78.2,42.1,229662.229023688,2767178356.96049
52,SO,SO24,24,Morris,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,54.3,28.3,222554.696421427,2474274913.98199
53,SO,SO25,25,St Pierre/DeSalaberry,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,67.5,36.9,181528.000479129,1589644822.51282
54,SO,SO26,26,Red River South,SO2,SO Mid Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,56.7,32.1,278605.116913458,3453311777.24245
55,SO,SO31,31,Lorne/Louise/Pembina,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,67.1,39.1,399158.836744281,7253206731.01529
56,SO,SO32,32,Stanley,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,17.9,6.9,247623.000481034,1960182514.82393
57,SO,SO33,33,Altona,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,43.9,24.6,211002.721663995,2261098837.82266
58,SO,SO34,34,Morden,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,61,35.2,38965.15880907,39095504.2368978
59,SO,SO35,35,Winkler,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,32.7,15.8,27078.3766799618,39982536.9587948
60,SO,SO36,36,Roland/Thompson,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,48,28,226778.372014416,2400959364.65943
61,SO,SO41,41,Niverville/Ritchot,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,71.6,33.5,171422.539361121,827254646.647322
62,SO,SO42,42,Tache,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,67.4,28.8,198026.695213104,1392862897.55005
63,SO,SO43,43,Ste Anne/LaBroquerie,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,52.2,22.6,243249.253411345,2523016499.16405
64,SO,SO44,44,Steinbach,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,50.5,20.9,40153.8261484758,61147992.2109331
65,SO,SO45,45,Hanover,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,36.7,12.9,249185.386576602,1757635738.94447
66,SO,SO46,46,Rural East,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/06/28 00:00:00+00,53.8,28.9,607250.812749564,13748988105.3887
67,WP,W01,11,St. James - Assiniboia,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,79.3,41.7,63874.3430139625,143294318.165048
68,WP,W02,11,Assiniboine South,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,81.7,49.2,59588.8533110651,147525959.798768
69,WP,W03,11,Fort Garry,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,76.4,36.9,81759.0158266852,184836391.455195
70,WP,W04,11,St. Vital,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,78.8,42.3,96409.372595144,151828760.618525
71,WP,W05,11,St. Boniface,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,79,41.9,60057.6240079438,113762117.776168
72,WP,W06,11,Transcona,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,75.8,33.9,36459.7713254084,69411442.7094922
73,WP,W07,11,River East,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,73.8,36.5,74302.5870373022,186306991.782263
74,WP,W08,11,Seven Oaks,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,76.4,33.3,80337.8726566768,311470601.379311
75,WP,W09,11,Inkster,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,73.2,27,33117.909829079,44036612.0529248
76,WP,W10,11,Point Douglas,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,62.6,25,26446.5771066511,26976766.1911886
77,WP,W11,11,Downtown,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,66.7,30.4,30943.4990725661,38922104.0543091
78,WP,W12,11,River Heights,WP1,WP Winnipeg Zone,01,Winnipeg,2021/06/28 00:00:00+00,80.2,45.6,34328.2909239961,43352736.7383571
79,WP,WP21,21,Winnipeg Churchill,WP2,WP Churchill Zone,01,Winnipeg,2021/06/28 00:00:00+00,73.3,60.7,71835.2228534843,239826936.25052
