OBJECTID,RHACODE,rhad,code,rhadname,zone,zone_name,NewRHACode,RHA,Date,uptake_1,uptake_2,SHAPE_Length,SHAPE_Area
59,SO,SO35,35,Winkler,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,21.5,2.4,0.203778810891444,0.0021090387501799
60,SO,SO36,36,Roland/Thompson,SO3,SO West Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,38.6,4.2,1.79999511101535,0.126190127106451
61,SO,SO41,41,Niverville/Ritchot,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,54.2,6.2,1.24825022594317,0.0432196991911463
62,SO,SO42,42,Tache,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,50,3.7,1.58513222979101,0.0726537829926786
63,SO,SO43,43,Ste Anne/LaBroquerie,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,38.3,4.8,1.70964562078834,0.132215965399297
64,SO,SO44,44,Steinbach,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,34.4,5.3,0.28244693004058,0.00320286986563576
65,SO,SO45,45,Hanover,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,23.8,3.4,1.80377708975486,0.0921638417501117
66,SO,SO46,46,Rural East,SO4,SO East Zone,05,Southern Health-Sant̩ Sud,2021/05/25 00:00:00+00,43,5.2,4.68402089717369,0.724301988433466
67,WP,W01,11,St. James - Assiniboia,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,64.6,7,0.478464251172277,0.0074486495821241
68,WP,W02,11,Assiniboine South,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,69.5,9.4,0.455152792343216,0.00767776504284855
69,WP,W03,11,Fort Garry,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,63.8,7,0.595422241490555,0.00962992150694438
70,WP,W04,11,St. Vital,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,65.6,6.9,0.720618280490012,0.00790826848117108
71,WP,W05,11,St. Boniface,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,64.6,6.9,0.44672193607618,0.00591803392037037
72,WP,W06,11,Transcona,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,59.3,5.5,0.28582045792064,0.00360822115371813
73,WP,W07,11,River East,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,60.3,6.1,0.545939226759235,0.00967254946143985
74,WP,W08,11,Seven Oaks,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,64,6.8,0.594924275271447,0.0161563396169117
75,WP,W09,11,Inkster,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,59.7,5.3,0.245769868711649,0.00228725231979056
76,WP,W10,11,Point Douglas,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,51,5.2,0.208164908623108,0.00140161611920244
77,WP,W11,11,Downtown,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,55.8,6.9,0.23376938700086,0.00202339370941359
78,WP,W12,11,River Heights,WP1,WP Winnipeg Zone,01,Winnipeg,2021/05/25 00:00:00+00,65.5,7.6,0.268105146811146,0.00225506201966352
79,WP,WP21,21,Winnipeg Churchill,WP2,WP Churchill Zone,01,Winnipeg,2021/05/25 00:00:00+00,69.2,53.1,0.500581532592803,0.0100435956240419
